Sample no,sin(x),Inclinometer Y,Inclinometer Y (-256, 256)
160,0.75,248,-8,
161,0.75,248,-8,
162,0.75,247,-9,
163,0.75,247,-9,
164,0.75,247,-9,
165,0.75,247,-9,
166,0.75,247,-9,
167,0.75,247,-9,
168,0.75,247,-9,
169,0.75,247,-9,
170,0.75,247,-9,
171,0.75,247,-9,
172,0.75,247,-9,
173,0.75,247,-9,
174,0.75,247,-9,
175,0.75,247,-9,
176,0.75,247,-9,
177,0.75,247,-9,
178,0.75,247,-9,
179,0.75,247,-9,
180,0.74,247,-9,
181,0.74,247,-9,
182,0.74,247,-9,
183,0.74,247,-9,
184,0.74,247,-9,
185,0.74,247,-9,
186,0.74,247,-9,
187,0.74,247,-9,
188,0.74,247,-9,
189,0.73,248,-8,
190,0.73,248,-8,
191,0.73,248,-8,
192,0.73,248,-8,
193,0.73,248,-8,
194,0.73,248,-8,
195,0.72,248,-8,
196,0.72,248,-8,
197,0.72,248,-8,
198,0.72,248,-8,
199,0.72,248,-8,
200,0.71,248,-8,
201,0.71,248,-8,
202,0.71,248,-8,
203,0.71,248,-8,
204,0.7,248,-8,
205,0.7,248,-8,
206,0.7,248,-8,
207,0.7,248,-8,
208,0.69,248,-8,
209,0.69,248,-8,
210,0.69,248,-8,
211,0.68,248,-8,
212,0.68,248,-8,
213,0.68,248,-8,
214,0.67,248,-8,
215,0.67,248,-8,
216,0.67,248,-8,
217,0.66,248,-8,
218,0.66,248,-8,
219,0.66,248,-8,
220,0.65,247,-9,
221,0.65,247,-9,
222,0.65,247,-9,
223,0.64,247,-9,
224,0.64,247,-9,
225,0.64,247,-9,
226,0.63,247,-9,
227,0.63,247,-9,
228,0.62,247,-9,
229,0.62,247,-9,
230,0.62,247,-9,
231,0.61,247,-9,
232,0.61,246,-10,
233,0.6,246,-10,
234,0.6,246,-10,
235,0.59,246,-10,
236,0.59,246,-10,
237,0.59,246,-10,
238,0.58,246,-10,
239,0.58,246,-10,
240,0.57,246,-10,
241,0.57,246,-10,
242,0.56,246,-10,
243,0.56,246,-10,
244,0.55,246,-10,
245,0.55,246,-10,
246,0.54,246,-10,
247,0.54,246,-10,
248,0.53,246,-10,
249,0.53,246,-10,
250,0.52,246,-10,
251,0.52,246,-10,
252,0.51,246,-10,
253,0.51,247,-9,
254,0.5,247,-9,
255,0.49,247,-9,
256,0.49,247,-9,
257,0.48,247,-9,
258,0.48,247,-9,
259,0.47,247,-9,
260,0.47,247,-9,
261,0.46,247,-9,
262,0.45,248,-8,
263,0.45,248,-8,
264,0.44,248,-8,
265,0.44,248,-8,
266,0.43,248,-8,
267,0.42,248,-8,
268,0.42,248,-8,
269,0.41,248,-8,
270,0.41,248,-8,
271,0.4,248,-8,
272,0.39,248,-8,
273,0.39,248,-8,
274,0.38,248,-8,
275,0.37,248,-8,
276,0.37,248,-8,
277,0.36,248,-8,
278,0.36,248,-8,
279,0.35,248,-8,
280,0.34,248,-8,
281,0.34,248,-8,
282,0.33,248,-8,
283,0.32,248,-8,
284,0.32,248,-8,
285,0.31,248,-8,
286,0.3,248,-8,
287,0.3,248,-8,
288,0.29,248,-8,
289,0.28,248,-8,
290,0.27,247,-9,
291,0.27,247,-9,
292,0.26,247,-9,
293,0.25,247,-9,
294,0.25,247,-9,
295,0.24,247,-9,
296,0.23,247,-9,
297,0.23,246,-10,
298,0.22,246,-10,
299,0.21,246,-10,
300,0.2,246,-10,
301,0.2,246,-10,
302,0.19,246,-10,
303,0.18,246,-10,
304,0.18,246,-10,
305,0.17,245,-11,
306,0.16,245,-11,
307,0.16,245,-11,
308,0.15,245,-11,
309,0.14,245,-11,
310,0.13,245,-11,
311,0.13,245,-11,
312,0.12,245,-11,
313,0.11,245,-11,
